comment;rating1
Vải có chút mỏng , cứng và nóng cổ tay cổ áo may to thô;0
Áo mỏng và có dính chút màu;0
Áo ổn lắm ạ, cổ áo hơi dơ, khá nhiều chỉ thừa, hình in hơi mờ không ổn lắm nhưng mà cũng được.;1
Vải mỏng ống tay hơi bé ;1
Quần nhiều chỉ thừa, ống không bằng nhau;0
màu nhạt hơn ảnh, nói chung tạm chấp nhận.;1
vải dày, mặc mùa hè hơi nóng.;0
hàng không giống ảnh đã thế còn bị rách một chỗ ;1
2 bộ hồng vàng chất tạm ổn. bộ màu tím và đỏ chất nhão nhoét luôn không mê được . ;0
Nhận đủ số lượng,tuy nhiên thật sự ko hài lòng lắm,shop gửi hàng thấy dính màu trên sản phẩm vậy mà vẫn gửi cho khách đến chịu,nhắn tin cho shop ko thấy shop phản hồi mặc dù có.Các mẫu khác nhìn chung ổn phù hợp giá tiền 	;0
Hàng không giống hình.;1
Chả ra làm sao, đặt ba bộ khác nhau, lại giao hai bộ màu vàng y hệt nhau	;0
Hết sức thất vọng. 	;0
Khác hình hoàn toàn. 	;0
Nhận hàng thất vọng quá, sản phẩm bên ngoài khác ảnh shop đăng.	;0
Chất lượng kém, khuyên mọi người không nên mua.;0
giao hàng sai, mà không cho đổi;0
Vải mỏng, giặt bị nhão.;0
Chất vải và đường may rất xấu	;0
Chất kém quá	;0
Bộ quần Áo đỏ bị phai màu, cùng trong thành phố mà giao lâu quá.	;0
Mẫu này giao sai màu.mình đặt bóng vàng mà giao bóng cam.hết màu mà không thấy shop báo gì	;0
Mình đặt màu khác shop lại giao màu hồng.  Quá chán	;0
Bán đồ đưa tào lao . Nghĩ sao đưa 2 bộ giống nhau . Đặt cái này đưa cái khác  2 cái áo 3 cái quần giống nhau;0
Hàng không giống ảnh chụp	;0
Trên hình áo may nổi đám mây với ngôi nhà lại nhận được áo in, vải tạm ổn. Hơi đắt so với tầm giá. Mình mua ở nhà hành rẻ đẹp hơn nên khá thất vọng.;0
một chiếc áo bị lỗi, phù hợp với giá tiền của sản phẩm	;0
Hàng không giống như hình. Với giá cả như vậy tạm chấp nhận được. Mong shop khi bán đăng hình thật để người mua không bị hụt hẫng.	;0
Thun mỏng, đường may không chắc, hình in không nét, không đẹp như quảng cáo, nhưng shop nhiệt tình nên cho 3 sao 	;0
Mua 3 bộ chỉ hài lòng được 1 bộ 2 bộ nhà hồng với nha vàng. Vải thô xấu. Kết hơp giữa quần với áo không hợp. 	;0
Giá khá rẻ tuy nhiên chất liệu không đc đẹp cho lắm, nhìn ngoài cũng không giống trên ảnh. 	;0
Sản phẩm không giống mô tả quần sai mẫu trên ảnh mẫu khác giao hàng lại mẫu khác mong shop lần sau đăng đúng hình để cho mọi người dễ lựa chọn 	;0
Shop giao thiếu hàng . gọi điện thoại thì không nghe. Bực ghê 	;0
Vải áo mỏng,quần quá bình thường	;0
Hàng nhận không giống hình.chất không được mát lắm nhưng giá thế là hợp lý rồi.	;1
Hàng y hình, màu rất đẹp 	;1
Chất vải cũng mềm	;1
Quần thì chất bún, mỏng nhẹ mát. Áo thì có vẻ chất nóng hơn, bộ mình mua nó còn may lỗi	;1
Chất ok nhưng gửi chưa đúng mẫu mình chọn. Giá rẻ nên thôi cũng ok. 	;1
Giao hàng siêu nhanh, nhìn ảnh mình nghĩ là hình nổi, không nghĩ là hình in như này, màu cũng choé hơn so với ảnh	;0
Giao hàng nhanh chóng, quần áo đẹp nhưng mà giặt ra màu 	;1
sản phẩm không giống trong hình. Quần bị vài vết bẩn. 	;0
chất lượng vải được	;1
sản phẩm mặc hơi chật	;1
Tốt;1
Quần không đẹp như hình. 	;0
Cá nhân mình không thích giun quần cho lắm 	;0
Vì giun này hay xoay tròn mặc trẻ khó chịu 	;0
Chất vải thun mềm, hợp với giá tiền	;1
Hàng không giống ảnh	;0
Màu không giông ảnh, chất vải phù hợp giá tiền 	;1
Màu sắc đẹp. Nhưng tay thun, bé mặc bị chật 	;1
Hàng giống mô tả , chất liệu tương đối mềm 	;1
Chất vải ok. Màu hơi đậm so với hình	;1
Áo thì đúng mà quần thì lại màu Hồng, không giống mẫu	;0
Cũng được. Màu sắc ko giống hình mẫu	;1
Chất lượng rất rất tốt vải mặc mùa hè rất mát;1
Chất liệu vải của quần không giống trên hình. Tạm được,tiền nào của nấy 	;1
giao nhầm 1 bộ, nhưng chất lượng tốt;1
Khá thất vọng. 	;0
Tương xứng với giá tiền.	;1
2 bộ màu hồng nhưng 1 quần hồng 1 quần tím. Quần đấy mặc với cả 2 cái áo đều thấy lệch 	;0
Chất vải tạm đc so với giá tiền. Màu vàng phai màu	;0
Chất vải tốt hợp với giá tiền	;1
Đẹp. 	;1
Màu đậm hơn trong ảnh, chưa mặc thử nên không biết có vừa không. Phù hợp giá tiền	;1
Áo quần đẹp ;1
Chất vải mát mặc thích hợp trong mùa hè.;1
Chất lượng phù hợp với giá tiền. chất vải tạm được	;1
Shop giao hàng nhanh, đóng gói cẩn thận, giao đúng màu đúng size. Chất liệu vải ổn so với giá;1
Giao hàng chậm, hàng đóng gói cẩn thận. Giao đúng mẫu nhưng hàng có mùi hôi khó chịu.	;1
Trên ảnh thì đẹp ở ngoài chất vải hơi nóng mặc không thấm mồ hôi, shop giao hàng nhah đóng gói cẩn thận	;1
Chất hơi xấu 	;0
Màu không giống như hình đăng. 	;0
Đường may cẩu thả, áo không giống hình	;0
Màu quá khác xa hình	;0
9-12kg mà thấy hơi nhỏ	;0
Tạm đc thôi,giá cao so với chất lượng 	;0
Hàng nhận không giống hình.chất không được mát lắm nhưng giá thế là hợp lý rồi.	;1
Áo thì đẹp,nhưng quần hơi xấu	;1
Bộ vàng hơi khác so với hình 	;0
Dễ thương	;1
Tạm được	;1
Sản phẩm không giống hình;0
Bộ tim vàng ở ngoài màu khác so, phù hợp với giá tiền	;1
Áo rất đẹp, giá tiền lại rẻ, chúc shop mua may bán đắt nhé.;1
Màu ở ngoài đậm hơn trong ảnh, vải cũng mềm mại . So với giá thì rẻ so với chợ ạ. Đóng gói cẩn thận. Giao hàng khá nhanh	;1
Sản phẩm đẹp, chất liệu mát, phù hợp với giá tiền, giao hàng nhanh, shop phục vụ nhanh.;1
Chất vải mát mặc thích hợp trong mùa hè;1
Áo tim vàng đẹp.chất vải tạm được .giao hàng nhanh chóng.giá rẻ.	;1
Giao hàng nhanh hàng giống hình ảnh vải mềm mịn.;1
Được;1
Hàng giống hình, đẹp, vải mát, giao hàng nhanh, khá hài lòng.	;1
Màu đậm hơn trong ảnh, bé 10kg- 10tháng mặc bị dài rộng nha. Giao hàng siêu nhanh	;1
Chất liệu tốt, đồ đẹp lắm.;1
Quần áo rất xinh, phù hợp với giá tiền, chọn đúng size cho bé là ok nhé các mẹ.	;1
Sản phẩm phù hợp với giá tiền. Chất vải nóng, giao hàng nhanh. Mẫu mã giống hình nhưng chất liệu không đẹp 	;1
Em đã nhận được hàng đúng mẫu mẫu vải mềm nói chung là ok.	Có dịp sẽ ủng hộ shop nữa	;1
Đồ đẹp lắm, bé mặc ok xinh lắm nha,hè rồi nên mặc bộ này rất mát vải cũng ok lắm nha	;1
Shop giao đúng mẫu, giao nhanh. Set 5 bộ in hình hơi xấu nhưng với giá này thì vẫn ok. ;1
Shop giao đủ số lượng.đúng màu đúng mẫu.tuy màu tím hơi buồn chút.nhung chất vải mềm mịn.	;1
chuẩn bị hàng siêu nhanh, Chất ok nhé, hình trái tim kia không giống mẫu lắm;1
Mặc không vừa 	;0
vải mỏng 	;0
khác hình không nên mua	;0
Xấu	;0
Chất xấu, mỏng nhão,  không phù hợp với giá tiền	;0
Vải mỏng nếu mang nội y màu đen thì sẽ dễ bị thấy , cơ mà tiền nào của nấy thui 	;0
Sản phầm không giống hình. nhưng mà form rộng nên ưng.;1
Áo bị ố 2 bên tay áo chắc chắn không tẩy được. Form quần nhỏ;0
Ai muốn mặc rộng thì cứ XL nhé vì quần form nhỏ lắm ạ	;1
Đồ ok lắm;1
Sản phẩm xinh 	;1
Mình m57 47kg mặc L thấy ok nè ;1
Hàng đẹp nha, chất liệu mát, không nhiều chỉ thừa, với giá tiền này thì quá là ưng cái bụng, sẽ ủng hộ shop những lần sau.	;1
chất lượng phù hợp giá cả nha , rộng rãi thoải mái. mặc vào mùa hè thì đúng bài luôn nha 	;1
sản phẩm phù hợp với giá tiền , chất mặc mát 	;1
Áo đẹp nha mọi người. Vải mát lắm nhưng mình đặt size xl rồi vẫn thấy áo hơi ngắn	;1
Hàng đẹp;1
Chất có vẻ hơi mỏng nhưng ko sao  mặc rất mát	;1
Nhiều chỉ thừa, chất cũng tạm được, không biết giặt có phai màu không nên mua về cứ vứt tủ lạnh 2 hôm mới bỏ ra giặt	;1
Hàng rất đẹp vải mát	;1
Hàng đẹp lắm luôn shop ạ, tuy nhiên vải hơi mỏng nhưng chất rất mát lần sau lại ủng hộ	;1
Siêu đẹp luôn nha	;1
Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp rất ưng nha	;1
Rất ưng	;1
Sản phẩm hơi mỏng nhưng với giá tiền như thế thì hợp lí.	;1
Ok nhé 	;1
Chất mỏng mát . Rất đẹp nên mua nha. Có điều là chỉ thừa chưa cắt hết ạ . Tóm lại là đẹp nên mua ạ mặc thích lắm	;1
Hàng rất đẹp tuy nhiên  áo hơi ngắn  shop đóng hàng cẩn thận 	;1
Vải hơi mỏng nhưng với giá đấy thì cũng gọi là quá ok rồi ạ 	;1
Tuyệt lắm nên mua nha	;1
Sản phẩm rất tốt nha mn 	;1
Vải rất ok luôn .tớ mua 2 bộ luôn í	;1
Vải ổn đẹp	;1
Đẹp lắm nha nên mua ạ	;1
Chất áo mát 	;1
Giá rất oke	;1
Form áo xấu, ngắn ơi là ngắn	;0
Rộng, nhưng chất đẹp;1
áo mặc mát nhưng khá dễ nhăn. mình mới mặc 1 lần đã thấy phần cổ bị dão	;0
chất hơi thô	;0
Áo rất mỏng, trả lời tin nhắn rất chậm	;0
Chỉ thừa nhiều;0
chất vải cũng tạm được;0
Vải đẹp nhưng áo size xl thì ngắn tay áo cũng ngắn nói chung là tạm ổn với giá	;0
Giao nhanh nhưng nhận áo về khá thất vọng vì màu áo không giống trong ảnh;0
Tạm được;1
không đẹp lắm, vải hơi mỏng 	;0
Chuẩn bị hàng hơi lâu, phản hồi tin nhắn cũng chậm.	;0
Đọc đánh giá của mọi người thấy bảo áo ngắn nên mìn chọn size xxl nhưng mình mặc siêu rộng, mình cao 1m66 50kg	;1
Chất vải khá đẹp, không dày cũng không mỏng nhưng có thể nhìn xuyên qua.	;0
Sản phẩm ok.	;1
Áo đen và vàng vải ổn, đường may chắc. Áo trắng vải mỏng, đường may sơ sài, dư chỉ nhiều	;1
Giao màu nhạt hơn so với ảnh 	;1
Vải tạm được	;1
Áo không đẹp bằng lần trước, vải cũng có vẻ nóng hơn	;0
Vải có vẻ nóng và dễ giãn , đúng tiền 	;0
M65 55kg mặc vừa nha,vải nóng, mình thấy chiếc này với mấy chiếc có hình giá 165 ấy vải gần như nhau luôn	;1
áo cũng ok, có 1 chút chỉ thừa	;1
Vải mát nhưng khá mỏng	;1
áo ổn	;1
Vải ổn, độ dài ưng, cổ áo hơi bé so với mong đợi. 	;1
Áo nóng	;0
Áo tím bị vệt mờ chỗ nếp gấp	;0
Chất áo được, viền cổ áo nếu thiết kế nhỏ hơn thì áo sẽ đẹp hơn	;1
Phai màu lắm 	;0
Áo dày dặn thấm hút mồ hôi chọn size to nhất nhưng theo mình chỉ vừa người 	;1
áo màu xinh lắm ạ, vải dày dặn nên có lẽ sẽ hơi nóng 1 chút, shop chu đáo nhắn tin báo hàng cẩn thận tỉ mỉ, áo kiểu dáng nhỏ nên đặt size XXL là không quá to, các bạn tầm 55-60 đặt là oki ổn nhé	;1
áo hồng này màu ở ngoài xinh hơn mà chụp lên hình không đúng màu;1
Áo siêu đẹp luôn nhé, màu y hình chất mát	;1
Lần đầu mua áo trên mạng mà được này siêu thích luôn ạ 	;1
Tốt	;1
Áo vải đẹp, giá rẻ. Giao sai màu 	;1
áo mát lắm nha 	;1
Ship hàng nhanh, áo đẹo lắm ạ, sờ nhẹ mà mỏng mát lắm nha, không hề bị mỏng dính đâu nhé, màu tím ở ngoài siêu xinh luôn	;1
áo dày dặn mặc vẫn khá là mát. Giao hàng nhanh. Áo tím chất mát hơn áo hồng 	;1
áo chất liệu rất đẹp mà giá lại phải chăng	;1
sẽ tiếp tục ủng hộ shop ;1
Áo giống y hình, vải cotton dày dặn. Mình cao 1m57 nặng 50kg đặt size XL hơi dài và rộng xíu. Nhưng nói chung là đẹp và đáng tiền	;1
Áo bị dãn;1
Shop đóng gói cẩn thận, hàng giao nhanh. Áo đẹp form rộng mà giá quá hợp lý luôn	;1
vải mát , màu xinh đúng như ảnh , mua lúc sale nên rất ổn cho 1 chiếc áo thun	;1
Chất lượng sản phẩm tốt. Vải áo dày, lên form đẹp. Thời gian giao hàng nhanh	;1
Áo đẹp mặc thoải mái không có ảnh chụp áo nên lấy tạm ảnh này ạ	;1
Hàng đẹp nha	;1
Mình đặt 2 cái. Cái tím có vải mỏng và mát hơn. Giao hàng đủ số lượng	;1
Form và vải ok nha, cũng không có gì để chê cả, shop khá đáng yêu	;1
Áo đẹp, màu đẹp, xinh, mua đến cái thứ 7 ở shop rồi, shipper thân thiện	;1
Áo đẹp lắm nha mọi người mình thích chất của áo thun trơn hơn nè 	;1
Áo chất lượng đỉnh của chóp nha, dài vừa phải, chất tốt không hề nóng. Mình đã mua lần thứ 2 và chắc chắn sẽ còn ủng hộ tiếp. Mãi yêu shop ạ	;1
Áo đẹp , phù hợp giá tiền 	;1
Đẹp	;1
Áo đẹp;1
lần sau sẽ tiếp tục ủng hộ shop;1
Áo giao đúng màu, vải ok. 	;1
Áo xinh, xịn, mịn giá ok 	;1
Giao hàng nhanh, đóng gói đẹp về chất lượng thì thấy màu tím ok hơn , chứ màu đen hơi dày cổ , xứng giá tiền 	;1
áo xinh mà mỗi tội người tui lùn mặc trông như cái váy	;1
Xịn lắm luôn	;1
ổn	;1
Với giá tiền này thì chất lượng quá ok rồi. Giao hàng nhanh shop tư vấn rất nhiệt tình nói chung sẽ ủng hộ shop nhiều lần nữa.	;1
sản phẩm tốt	;1
Áo đẹp lắm;1
Áo chất siêu mát, vải đẹp,from đẹp, shop đánh iu tuy nhiên hơi nhiều bụi vải nên lưu ý giặt trước khi mặc	;1
Chất vảy dày, tốt;1
giao hàng nhanh . áo ổn và giá cũng ok nên khá ưng . sẽ mua tiếp nhé	;1
Đẹp chất mát nhưng hơi mỏng màu xinh form chuẩn	;1
đúng đỉnh luôn 	;1
rất đáng tiền nên mua nha mọi người ơi	;1
Giao hàng hơi lâu xíu nhưng bù lại áo rất đẹp nha rất nên mua luôn ! Lại còn siêu rẻ nữa	;1
Áo tạm ổn, chất hơi nóng	;1
Chất áo rất đẹp, giá rẻ, sẽ mua lại lần nữa 	;1
Mua lần 2, vừa đẹp vừa rẻ, chất cũng ổn, vừa giá tiền,mặc nhiều giặt nhiều không biết bị nhão không	;1
Chất lượng sản phẩm này tuyệt vời nhất đóng gói sản phẩm này tuyệt vời nhất 	;1
Vải ok với giá nhưng màu trắng thì sẽ thấy hằn nội y khá rõ 	;1
Chất liệu áo ổn phù hợp với giá tiền, giao hàng nhanh tầm 2 ngày có hàng	;1
Áo xinh chất ok so với giá tiền	;1
Áo đẹp, chất mát, mặc thích, sẽ mua thêm	;1
Áo đẹp lắm nha, áo lần 2 mình mua thì dài hơn lần 1 dù cùng 1 cỡ nhưng nói chung ưng lắm lắm 	;1
Áo đẹp ngon bổ rẻ mua đúng lúc sale  giao hàng lâu mag ko hề nha	;1
Chất vải ok lắm nha	;1
Mặc thích ạ 	;1
Áo đẹp, màu tím đậm hơn so với trên hình. Chất vải cũng ổn, mua dịp sale nên giá tốt.	;1
Áo xinh, dày dặn, form đẹp, nhưng size xl mà to lắm, ship nhanh nên mua 	;1
Ok	;1
Áo xinh chất ok, màu hơi khác chút;1
Áo đẹp chất vải cotton. Đặt xl mà cổ áo hơi bé	;1
Màu ở ngoài đậm hơn và đẹp hơn nhiều không hiểu sao lên ảnh màu khác vậy	;1
Áo đẹp, size 2xl rồi mà vẫn nhỏ quá	;1
Áo đẹp lắm nha  , mùi còn thơm thơm nữa . Dáng lên đẹp . Chất cũng OK luôn nè . Shop nhiệt tình . Giao hàng hơi lâu xíu . Còn lại đều rất tốt	;1
Thề xinh lắm luôn chắc chắn mình sẽ mua thêm	;1
áo vải mỏng, siêu nhẹ với thoáng mát, rộng rãi thoải mái lắm luôn ạ	;1
chất vải ok. không quá dày cũng không quá mỏng. nên mua 	;1
Rất tuyệt vời ạ	;1
Áo dày dặn, thoải mái chất áo không bị xù 	;1
Áo đẹp vải rất ok 	;1
Áo rách vai, vải nóng , thất vọng !	;0
Áo xấu ngắn	;0
Chất lượng quá tệ	;0
Áo rất đẹp nhưng cổ áo xấu ko thành hình tròn 	;0
Áo rất hợp với giá sale, áo không đẹp lắm	;0
Áo mỏng quá	;0
Áo không được đẹp cho lắm vải mỏng .đường chỉ thừa nhiều	;0
Tiền nào của đó nói chung là chịu chi tiền thì chất lượng sẽ khác	;0
Tạm ổn, mặc hơi nóng tý	;1
Vải hơi thừa chỉ	;1
Túi kéo cẩn thận chất lượng áo ok nhưng hơi mỏng 	;1
Áo hơi bẩn xíu	;0
Khá ưng	;1
Vải giá tầm này rất ok 	;1
áo khá ok.;1
Áo hơi mỏng, đường chỉ mới mua đã tuột	;0
Áo đẹp mà vải hơi mỏng ạ.	;1
áo hơi mỏng;0
Chất hơi nóng	;0
hàng khá ok	;1
Hơi ngắn so với tưởng tượng. 	;1
áo phải gọi là đỉnh luôn nhé  với cái giá này thì không chê vào đâu được. 	;1
Giao nhầm size. ; 0
Vải hơi mỏng và nóng	;0
Với giá vậy mình thấy hợp lí rồi	;1
Rất hài lòng về sản phẩm của shop.;1
Vải khá mỏng có vẻ nóng nhưng phù hợp với giá tiền rồi ạ,không đòi hỏi gì nhiều với giá đó,ship nhanh,shop cẩn thận bỏ vào túi zip;1
