comment;rating1
Hàng giao nhanh sẽ ủng hộ shop nhiều "	;1
Giao hàng khá nhanh. Chất vải tốt. Mỗi tội mình thấy chữ khá dễ bong và mùi rất hôi	;1
sản phẩm đẹp lắm nha	;1
Shop gói vào túi rất lịch sự	;1
Đây là sản phẩm ưng nhất của mình;1
Áo tạm ổn. Nói chung cũng ok	;1
Sản phẩm tốt, đẹp, đáng mua các bạn nên thử nhé.	;1
Áo đẹp phù hợp với giá tiền.	;1
Vải đẹp nên mua nha mọi người áo đẹp chất lượng vải cũng tạm ổn.;1
Đóng gói sản phẩm chắc chắn, chất lượng phù hợp với giá tiền, giao hàng nhanh	;1
giao nhanh, màu đẹp, chất vải khá dày dặn nhưng trời nắng thì có thể mặc hơi nóng. 	;1
Thời gian giao hàng nhanh chất lượng sản phẩm phù hợp với giá tiền	;1
áo ổn áp , phù hợp với giá của nó 	;1
Giao hàng nhanh. Chất cải dày dặn. Nên mua nha 	;1
áo bị rách không đáng tiền;0
Áo rách vai, vải nóng , thất vọng !	;0
Áo xấu ngắn;0
Giao thiếu hàng.;0
Chất lượng quá tệ;0
sản phẩm phù hợp với giá tiền, không thành hình tròn;0
Áo rất hợp với giá sale, áo không đẹp lắm;0
Áo mỏng quá;0
Áo không được đẹp cho lắm vải mỏng. đường chỉ thừa nhiều;0											
áo giống hình, vải hơi mỏng.;1
Tạm ổn, mặc hơi nóng tý;1
Vai hơi thừa chỉ;0
Túi kéo cẩn thận chất lượng áo ok, nhưng hơi mỏng;1
Áo hơi bẩn xíu;1
Khá ưng;1
Vải giá tầm này rất được;1
áo khá ok.;1
Áo hơi mỏng, đường chỉ mới mua đã sứt	;0	
Áo đẹp mà vải hơi mỏng ạ.	;1
áo ngắn không mặc vừa;0
Chất hơi nóng	;0
hàng khá ok	;1		
sản phẩm giao bị bẩn;0
Áo xấu, cổ thì hơi nhỏ, vải mỏng nếu các nữ mặc vô sẽ bị lộ áo trong, giao áo cho mình mà có hẳn hai vết dơ, tư vấn không nhiệt tình.; 0
Hàng giao không giống mẫu. Thái độ nói chuyện phục vụ rất khó chịu;	0
Giao hàng không đúng mẫu đã đặt chất lượng không tốt;0
vải quá mỏng;0
Giao thiếu hàng. Vải mỏng, thất vọng, không nên mua;0
Vải quá mỏng. quá tệ;0
Không nên mua. ;0
giao sai hàng chán ;0
Vải thô nóng, xấu, cổ áo nhún rất xấu, không đáng để mua rất tệ;0
giao áo bị bẩn, vải xấu, không nên mua;0
Thất vọng về sản phẩm. không giống hình ;0
Chất hàng không đẹp;0
Áo ngắn hơn so với hình, áo bị bẩn và mỏng;0
Chất lượng sản phẩm quá kém, mỏng dính, mặc như mặc túi ni lông xuyên thấu đã thế còn rách lỗ to, nhiều chỗ bị sứt chỉ. Giao hàng chậm. áo ngắn, vải mỏng, không nên mua. ;0
Áo bị dính mực tùm lum	;0
áo ngắn, chất lương không tốt;0
Bị bung chỉ, vải mặc hơi nóng.;0
chất vải giặt bị xù	;0
Form áo nhỏ. không giống hình, vải hơi mỏng,mặc hơi nóng. ;0
Một chiếc rất đẹp. Còn 1 chiếc bị bẩn. Vải hơi mỏng nhưng mặc lên rất vừa form.;0
vải mỏng lét, không ưng được tí nào;	0			
Vải rất mỏng, thất vọng thực sự ;	0
Vải thô cứng, không nên mua;0
Áo còn chỉ thừa. Mọi người nên cân nhắc khi mua	;0
Màu vải kém quá, mặc được đúng 1 lần phai hết cả	;0
Không giống trong ảnh	;0
Xấu, form nhỏ	;0
Vải bị nhăn, xấu cực ;0		
Vải  bị rão, dễ nhăn, khuyên mọi người đừng nên mua hàng này.	;0
chất lượng tệ	;0
Áo không đúng kích thước shop quảng cáo	;0	
Vải sờ thì thấy mát. Không quá mỏng nhưng không dày. ;1
Áo chất lượng cũng phải chăng;1
Màu không giống ảnh;0
Vải hơi mỏng, gói hàng đẹp	;0
Chất vải tạm được, giao hàng hơi lâu;1
Chất vải đẹp, giao hàng nhanh	;1
Cũng tạm	;1
Shop giao đúng mẫu, áo hơi mỏng, mặc mát, co dãn rất tốt	;1	
Chất vải xấu, mặc nóng;0
Vải áo mỏng, from áo dài nên lưu ý trước khi mua	;0
Áo mỏng và dễ nhăn cực ý ;0
Khá là thất vọng 	;0
Áo mỏng. Thất vọng cực. ;0
Chất liệu cũng tạm được, giao sai màu, tạm chấp nhận; 0
áo bị ngắn, hơi thất vọng	;0
Quần với giá này thì vải ok. ;1
áo hơi nhăn	;0
Áo khi mới mở ra thì khá hơi khi mặc thì bị dính vải lên trên người 	;0
Áo màu be mỏng quá;0
Chất vải hơi kém	;0
Vải ổn;1
áo Đẹp;1
Áo rất dễ bị nhăn	;0
Áo chất đẹp. ;1
Kém	;0
Chất vải và đường may tốt nhưng áo bé hơn so với bảng size nên không ưng lắm	;0						
Áo hơi mỏng;1
Dáng áo đẹp ạ , mỗi tội vải mỏng nhìn rõ áo bên trong	;1												
Áo bị lỗi, chán quá	;0																					
Chất vải mát. tuy nhiên cổ áo bị ố vàng;1					
Tạm được	;1								
Sản phẩm oke nhưng giao trễ 	;1						
Vải hơi mỏng 	;0																					
áo hơi tệ;0									
Quần có vết hơi dơ. Ổn so với giá	;0																	
Chất được, mặc mát, mỗi tội chưa rộng theo ý mình lắm; 1											
Áo hơi bẩn		;0								
Vải dày, mặc bị nóng, giao hàng nhanh	;1											
Giao hàng khá nhanh, giao đủ hàng, chất hơi nóng. nói chung tạm ổn;1									
Áo giống như hình, chất hơi dày, mình đặt áo XXL rồi nhưng áo trông vẫn hơi nhỏ. Giá cả phải chăng, giao hàng nhanh	;1										
Vải xịn mát, đường may xấu	;1																
Áo chất thì đẹp lắm rồi hời với giá tiền, bị phai màu;1									
Áo chất khá là mát, giống hình, đường may xấu;1
Đường may rất ẩu;0
sản phẩm giao khác hình, mặc lên nhìn rất xấu.;0
Giá đắt, mà sản phẩm chất lượng quá kém, không nên mua.;0
giao hàng chậm, lúc nhận hàng thì thiếu. Buồn.;0
mặc rất nóng, hàng kém chất lượng. ;0
áo không giống hình.;	0
Sản phẩm tệ, áo quá bé không như mô tả.;	0
áo giống hình, nhưng chất vải xấu, mỏng.;	0
Áo ngắn, ship lâu, hàng không đẹp; 	0
nhắn tin shop khong trả lời, giao hàng lâu;	0	
Hàng mới nhận đã rách vài chỗ, shop không cho đổi trả.;0
Vải xấu hàng về chậm. Không nên mua.;	0
áo tay ngắn không như hình.;0
Áo quá ngắn không mặc được, không giống kích thước mô tả.;	0
Chất vải nóng , cầm thôi chứ chưa mặc đã thấy rất nóng.;	0
thất vọng về sản phẩm.;0
Tồi; 0
Tạm chấp nhận;0
phần cổ may ẩu quá, mùi áo rất khó chịu	;0
form áo cũng tạm	;0
Áo vải mỏng mặc rất nóng không thấm hút mồ hôi mấy nên cân nhắc khi mua	;0
Vải áo cũng tốt nhưng cái logo áo may hơi cao, mùi hôi, giao hàng chậm;0
áo mỏng ;0
Chất vải mịn	;1
Chất lượng áo quá kém. Áo trắng thì bị lem bẩn mốc.;0
Tay quá ngắn.; 0
Áo quá mỏng.;0
lừa đảo.; 0
Chất mát ;1
vải đẹp dùng cũng ok	;1
Nói chung là nên mua nha"	;1
Áo chất mịn không dễ xù. ;1
Áo đẹp phù hợp với giá tiền;1
Nên mua nha ;1
chất mỏng dễ nhăn;0
Ống tay áo hơi ngắn so với size XL	;0
Vải tốt mà áo to quá, đóng gói sản phẩm đẹp, giao hàng nhanh.	;1
Sản phẩm  không mịn.   rất nóng nực. hàng kém chất lượng	;0
Áo không giống trong hình 	;0
Chất lượng áo khá ổn so với giá tiền	;1
Áo tay quá ngắn còn bị lỗi đường may ;	1
Áo ngắn, vải xấu, không nên mua;0
Hỗ trợ kém	;0
Giao thiếu hàng; 0
Hàng cũng tạm ổn quần thì không ưng ý lắm	;1
áo mỏng mà còn nóng	;1
Áo hơi mỏng	;0
Vải hơi mỏng	;0
Chất lượng kém	;0
Chỉ quần rất tệ 	;0
Quần mua về bị rách 	;0
Quần ổn áp	;1
Áo thì không thoáng mát 	;0
Quần vải quá mỏng	;0
Chất sờ khá mát. 	;1
Giao hàng nhanh. Nhưng trải nghiệm vẫn chưa hài lòng. 	;0
Chất mỏng, nhưng nóng	;0
Quần mỏng quá 	;0
Nhìn chung thì cũng ok 	;1
Vải quần mỏng	;0
Phù hợp với giá tiền, đồ đẹp	;1
Nhưng đường chỉ may khá tệ	;0
Quần may đường chỉ không ổn ,áo tạm được	;0
Bộ đồ khá ổn. Quần hơi mỏng nhưng mặc khá mát	;1
Tạm được	;1
Áo chất đẹp, còn quần chất vải xấu	;0
Chất xấu . 	;0
Hàng ok . Áo mỏng. Nhìn cũng được	;1
Áo thì ok nhưng quần vải xấu 	;0
Chất vải tạm ổn 	;1
nhìn rất xấu . Không hài lòng 	;0
khá ổn, áo thì đỡ, quần không đẹp lắm.	;0
Sản phẩm  ok.    Vải mỏng mát.	;1
Quần hơi mỏng, có vẻ nóng 	;0
Áo thì được	;1
Hàng gói đẹp	;1	
Vải không đẹp, rất nóng .	;0
Vải xấu cực kỳ 	;0
Chất vải thì nóng thô 	;0
Tóm lại hàng rất chán	;0
Áo rách nên mình không hài lòng	;0
vải mỏng dính	;0
Vải mỏng, nóng. Sai lầm 	;0
Vải mỏng	;0
Chất quá xấu, không thể mặc được, làm giẻ lau còn không thấm được nước,	;0
Quá tệ 	;0
Vải xấu.	;0
Chất vải quá mỏng	;0
Hàng đóng gói sơ sà	;0
Mỏng dễ sợ luôn,  tệ , thất vọng ghê luôn	;0
Vải khá mỏng. Vài không nóng không mát;0
Giao hàng lâu và đặc biệt là vải rất mỏng luôn và còn bị rách nựa	;0
Chất vải thô, nóng, không co giãn, kích thước khá bé so với size chuẩn	;0
hàng thun mặc nóng coton nhiều không thấm hút mồ hôi 	;0
Thun coton nhiều mặc nóng không thấm mồ hôi 	;0
Chất vải xấu	;0
không đẹp  vải mỏng chất nóng 	;0
Nói chung là không ưng	;0
Hơi mỏng nha	;0
Vải mỏng	;0
Vải hơi mỏng. Giá tạm chấp nhận được	;1
Áo rộng rãi vừa người, không có túi, vải loại nhẹ nhưng mặc hơi nóng	;0
Vải mỏng	;0
Chất áo mỏng và nóng, hình khá dễ thương	;1
Vải rất xấu. Mỏng. 	;0
Nói chung là không ưng	;0
Hàng so với giá tiền thì ok ạ. Nhưng thực sự rất rất mỏng và nóng 	;1
Vải mỏng nhưng đc cái là mềm, không cứng lắm, cũng ok	;1
So với giá tiền thì sản phẩm được vậy là tốt rồi ạ. 	;1
vải hơi mỏng 	;0
hơi thất vọng	;0
Giao nhầm size, nhắn tin shop không trả lời;0
Vải mỏng, không mặc được;0
Nói chung là không ưng	;0
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;0
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu, tốn tiền; 0
chất vải hơi nóng.; 0
áo trắng bị vết bẩn giặt không ra. ;0
Vải xấu, hình in cũng xấu, nhìn như cái rẻ lau. ;0
Sản phầm nhìn giống hình nhưng đường may xấu, vải cũng xấu; 0
Chất liệu vải rất kém không giống trong hình. ; 0
Vải áo thực sự tệ, vừa thô vừa nóng.; 0
áo hơi ngắn;0
áo dài quá;0
quần quá ngắn không mặc vừa.; 0
mới nhận hàng mà đã thấy rách rồi, shop không trả lời tin nhắn. Thất vọng thật sự. ;0
chất lượng sản phẩm không xứng đáng với giá tiền. ;0
Vải mỏng, tay áo quá dài.;0
Giao không đúng size,nhắn tin không rep.;0
Hàng khác hoàn toàn với ảnh.; 0
Quần cũng bình thường chất nỉ mỏng, thái độ giao hàng kém, không nên mua.;0
rất nhiều chỉ thừa, có chỗ bị rách. ; 0
Vải mỏng, dễ bị nhăn, đắt so với tiền bỏ ra.;0
Quần chất nóng kinh khủng. ;0
Chất nóng.;0
Vải chưa được tốt lắm;0
Chất xù, vải và nóng, không nên mua nhé mọi người.;0
Hàng giống hình, nhưng giao quá chậm, chất vải xấu;0
Mặc hơi bị rộng một chút.;1
Giao đúng mẫu, đường may chưa được đẹp, nhiều chỉ thừa.;0
dáng áo xấu, không đẹp như hình.;0
Chất vải chưa đẹp lắm;0
Giao đúng size, đúng mẫu, nhưng vải hơi mỏng.;0
Giao không đúng size;0
Sản phẩm đúng hình nhưng vải không được như mong đợi;0
Hơi nhiều chỉ thừa; 0
Cổ áo bị rộng, mặc lên nhìn xấu.;0
Màu nhận được khác hình mẫu đăng hoàn toàn.;0
Vải không thấm mồ hôi, mặc nóng.;0
Đường may ẩu.;0
Vải nóng, đường may sơ sài, phần cổ không ôm như ảnh, sản phẩm khác trong ảnh minh hoạ.	;0
Áo siêu mỏng, hơi thất vọng.;0
nóng quá.;0
Áo không được đẹp như hình. 	;0
Áo in chữ sai.	;0
Áo màu trắng bị bẩn;	0
Áo không tốt như mong đợi;0
Vải quá mỏng, tay áo thì dài quá; 0
Chất vải khá tốt, phù hợp với giá tiền	;1
Chất vải mát, vừa tiền	;1
áo mát, đẹp	;1
vừa tiền	;1
khá vừa lòng	;1
mặc khá thích	;1
áo ok Nhìn cũng được	;1
Nhìn cũng được	;1
khá thích áo này	;1
khá ok	;1
vải đẹp dùng cũng ok	;1
vải mát, thích dùng cũng ok	;1
cũng ok		;1
khá hài lòng		;1
lần sau sẽ ủng hộ tiếp, mình khá vừa ý	;1
Chất ok nhưng gửi chưa đúng mẫu mình chọn. Giá rẻ nên thôi cũng ok. ;1
Chất thích  Giá rẻ nên thôi cũng ok. 	;1
khá ổn  ;1
Áo ổn lắm ạ, khá nhiều chỉ thừa, hình in hơi mờ không ổn lắm nhưng mà cũng được.;1
cổ áo hơi dơ,  nhưng mà cũng được.;1
cổ áo hơi dơ, khá nhiều chỉ thừa, hình in hơi mờ không ổn lắm nhưng mà cũng được.;1
cũng được.;1
Áo ổn lắm ạ;1
nhận hàng thấy ổn lắm ạ, cổ áo hơi dơ, ;1
ổn lắm ạ, khá nhiều chỉ thừa,;1
phù hợp với giá tiền		;1
Áo đẹp gần như mong đợi	;1
Áo khá ok 	;1
Áo đẹp 	;1
Áo đẹp 		;1
Áo  khá thích	;1
mình khá hài lòng; 1
Áo đẹp phù hợp với giá tiền		;1
quần chất vải xấu	;0
quần chất vải nóng, không đẹp	;0
Áo chất đẹp;1
quần chất vải xấu;0
Áo đẹp, 	;1
quần khá chán, áo rất ổn	;1
Áo chất đẹp, còn quần chất vải xấu	;1
Áo chất đẹp, còn quần chất vải xấu	;1
Áo chất đẹp, còn quần chất vải xấu	;1
quần hơi mỏng, nóng;0
Vải không đẹp	;0
tạm được	;1
cái này mặc đi ra ngoài không ổn lắm, chỉ mặc được ở nhà thôi	;0
Vải hơi mỏng, không đẹp lắm	;0
Vải hơi nóng	;0
Một chiếc rất đẹp. Còn 1 chiếc bị bẩn. Vải hơi mỏng nhưng mặc lên rất vừa .;0
 1 chiếc bị bẩn. Vải hơi mỏng nhưng mặc lên rất vừa form. Một chiếc rất đẹp.;0
chỉ vừa ý 1 chiếc Còn 1 chiếc bị bẩn. mặc lên rất vừa form.;0
Một chiếc rất đẹp.  Vải hơi mỏng nhưng mặc lên rất vừa form.;0
 1 chiếc bị bẩn. Vải hơi mỏng nhưng mặc lên rất vừa form.;0
Một chiếc rất đẹp.1 chiếc Vải hơi mỏng ;0
1 cái khá ưng Còn 1 cái bị bẩn. ;0
Một chiếc rất đẹp. Còn 1 chiếc bị bẩn. Vải hơi mỏng nhưng mặc lên rất vừa form.;0
đường chỉ không ổn ,áo tạm được	;0
Quần  không ổn ,áo tạm được	;0
1 cái không ổn , 1 áo tạm được	;0
tạm được	;0
áo tạm chấp nhận được	;0
Quần may đường chỉ không ổn ,áo tạm được	;0
dáng áo xấu, không đẹp ;0
dáng áo xấu, ;0
không đẹp như hình.;0
 áo xấu, không đẹp ;0
xấu, không đẹp như hình.;0
chất áo xấu, ;0
không đẹp ;0
dáng áo xấu, không như hình.;0
xấu, không như hình.;0
áo xấu, không đẹp như hình.;0
xấu, không đẹp lắm;0
Chất lượng kém	;0
Chất lượng hơi tồi	;0
Chất lượng không đẹp tý nào	;0
không thích lắm	;0
xấu lắm	;0
Chất vải kém	;0
Chất không mát, không đẹp	;0
không thích	;0
Chất lượng kém	;0
Chất lượng kém	;0
chất vải xấu, mỏng.;0
áo giống hình, nhưng chất vải xấu;0
giống hình, nhưng chất vải xấu, mỏng.;0
Khá là thất vọng 	;0
áo giống hình, nhưng chất vải xấu, mỏng.;0
Sản phẩm tệ, áo quá bé không như mô tả.;0
Kém	;0
sản phẩm giao bị bẩn;0
áo giống hình, nhưng chất vải xấu, mỏng.;	0
Màu quá khác xa hình	;0
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;0
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu, tốn tiền; 0
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;0
vải thô cứng, mặc rất khó chịu;0
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;0
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu,; 0
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;0
vải thô cứng, mặc rất khó chịu, tốn tiền; 0
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;0
mặc rất khó chịu, ; 0
Sản phẩm khác hình hoàn toàn, thất vọng hoàn toàn. ;0
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu, tốn tiền; 0
thất vọng  ;0
vải thô cứng,không đẹp tý nào ; 0
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;0
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu; 0
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;0
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu, tốn tiền; 0
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;0
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu, tốn tiền;0
Áo ngắn, vải xấu, không nên mua;0
chất lượng kém	;0
Áo ngắn, vải xấu, ;0
tệ	;0
quá tệ không nên mua;0
chất lượng rất kém;0
Áo ngắn, vải xấu, không nên mua;0
xấu lắm	;0
Mỏng dễ sợ luôn,  tệ , thất vọng ghê luôn;0
Hỗ trợ kém	;0
Áo ngắn, vải xấu, không nên mua;0
Hỗ trợ kém	;0
Hàng mới nhận đã rách vài chỗ, shop không cho đổi trả.;	0
Vải xấu hàng về chậm. Không nên mua.;	0
Hỗ trợ kém	;0
Áo ngắn, vải xấu, không nên mua;0
Hỗ trợ kém	;0
Áo ngắn, vải xấu, không nên mua;0
Sản phẩm  không mịn.   rất nóng nực. hàng kém chất lượng;0
Vải xấu cực kỳ 	;0
Chất vải thì nóng thô 	;0
Tóm lại hàng rất chán"	;0
Áo ngắn, vải xấu, không nên mua;0
Hỗ trợ kém	;1
không ưng	;0
mình không ưng	tý nào;0
 không ưng	;0
Nói chung là không đẹp	;0
mình nhận hàng và thấy không thích;0
khá chán	;0
khá tệ	;0
vải nóng, không đẹp tý nào	;0
Nói chung là không ưng	;0
Nói chung là không ưng	;0
dáng áo xấu, không đẹp.;0
 áo xấu, không đẹp như hình.;0
áo  không đẹp như hình.;0