comment;rating;rating1
Hàng giao nhanh sẽ ủng hộ shop nhiều "	;5;5
Giao hàng khá nhanh. Chất vải tốt. Mỗi tội mình thấy chữ khá dễ bong và mùi rất hôi	;4;4
sản phẩm đẹp lắm nha	;5;5
Shop gói vào túi rất lịch sự	;5;5
Đây là sản phẩm ưng nhất của mình;5;5
Áo tạm ổn. Nói chung cũng ok	;5;4
Sản phẩm tốt, đẹp, đáng mua các bạn nên thử nhé.	;5;5
Áo đẹp phù hợp với giá tiền.	;5;5
Vải đẹp nên mua nha mọi người áo đẹp chất lượng vải cũng tạm ổn.;5;4
Đóng gói sản phẩm chắc chắn, chất lượng phù hợp với giá tiền, giao hàng nhanh	;5;5
giao nhanh, màu đẹp, chất vải khá dày dặn nhưng trời nắng thì có thể mặc hơi nóng. 	;5;4
Thời gian giao hàng nhanh chất lượng sản phẩm phù hợp với giá tiền	;5;5
áo ổn áp , phù hợp với giá của nó 	;5;5
Giao hàng nhanh. Chất cải dày dặn. Nên mua nha 	;5;5
áo bị rách không đáng tiền;1;1									
Áo rách vai, vải nóng , thất vọng !	;1;1															
Áo xấu ngắn;1;1															
Giao thiếu hàng.;1;2																													
Chất lượng quá tệ;2;1															
sản phẩm phù hợp với giá tiền, không thành hình tròn;3;3															
Áo rất hợp với giá sale, áo không đẹp lắm;	3;3															
Áo mỏng quá;2;2						
Áo không được đẹp cho lắm vải mỏng. đường chỉ thừa nhiều;3;3															
áo giống hình, vải hơi mỏng.;4;4															
Tạm ổn, mặc hơi nóng tý;4;4															
Vai hơi thừa chỉ;4;4															
Túi kéo cẩn thận chất lượng áo ok, nhưng hơi mỏng;4;4															
Áo hơi bẩn xíu;4;4															
Khá ưng;4;4																
Vải giá tầm này rất được;4;5															
áo khá ok.. ;4;4															
Áo hơi mỏng, đường chỉ mới mua đã sứt	;3;3														
Áo đẹp mà vải hơi mỏng ạ.	;4;4															
áo ngắn không mặc vừa;1	;2													
Chất hơi nóng;4	;3														
hàng khá ok	;4	;4																											
sản phẩm giao bị bẩn;2;2															
Áo xấu, cổ thì hơi nhỏ, vải mỏng nếu các nữ mặc vô sẽ bị lộ áo trong, giao áo cho mình mà có hẳn hai vết dơ, tư vấn không nhiệt tình.; 1;1										
Hàng giao không giống mẫu. Thái độ nói chuyện phục vụ rất khó chịu;	1;1																			
Giao hàng không đúng mẫu đã đặt chất lượng không tốt;1;1										
vải quá mỏng;1;1										
Giao thiếu hàng. Vải mỏng, thất vọng, không nên mua;1;1										
Vải quá mỏng. quá tệ;1;1										
Không nên mua. ;1;1										
giao sai hàng chán ;2;2										
Vải thô nóng, xấu, cổ áo nhún rất xấu, không đáng để mua rất tệ;1;1										
giao áo bị bẩn, vải xấu, không nên mua;1;1										
Thất vọng về sản phẩm. không giống hình ;1;1										
Chất hàng không đẹp;2;2										
Áo ngắn hơn so với hình, áo bị bẩn và mỏng;2;2										
Chất lượng sản phẩm quá kém, mỏng dính, mặc như mặc túi ni lông xuyên thấu đã thế còn rách lỗ to, nhiều chỗ bị sứt chỉ. Giao hàng chậm. áo ngắn, vải mỏng, không nên mua. ;1;1										
Áo bị dính mực tùm lum	;1;1										
áo ngắn, chất lương không tốt;2;2										
Bị bung chỉ, vải mặc hơi nóng.;2;2										
chất vải giặt bị xù	;2;2										
Form áo nhỏ. không giống hình, vải hơi mỏng,mặc hơi nóng. ;2;2										
Một chiếc rất đẹp. Còn 1 chiếc bị bẩn. Vải hơi mỏng nhưng mặc lên rất vừa form.;3;3	
vải mỏng lét, không ưng được tí nào;	1;1																	
Vải rất mỏng, thất vọng thực sự ;	1		;1								
Vải thô cứng, không nên mua;1	;1						
Áo còn chỉ thừa. Mọi người nên cân nhắc khi mua	;1	;2									
Màu vải kém quá, mặc được đúng 1 lần phai hết cả	;1;2										
Không giống trong ảnh	;1	;3									
Xấu, form nhỏ	;1	;1									
Vải bị nhăn, xấu cực ;1;1																					
Vải  bị rão, dễ nhăn, khuyên mọi người đừng nên mua hàng này.	;1;1										
chất lượng tệ	;1;1										
Áo không đúng kích thước shop quảng cáo	;1;2																			
Vải sờ thì thấy mát. Không quá mỏng nhưng không dày. ;3;3																					
Áo chất lượng cũng phải chăng;3;3										
Màu không giống ảnh;2	;2									
Vải hơi mỏng, gói hàng đẹp	;3;3										
Chất vải tạm được, giao hàng hơi lâu;3;3										
Mình khá thất vọng về áo ;2;2										
Giao sai màu;2				;2					
Áo mỏng 	;2				;3					
Kích thước không giống mô tả	;2;3										
form áo khá đẹp, Chất vải khá được, tuy nhiên giặt bị phai màu;3;3										
Chất đẹp. Form rất rất rộng. ;3	;3									
Chất vải đẹp, giao hàng nhanh	;5;5										
Cũng tạm	;3	;3									
Shop giao đúng mẫu, áo hơi mỏng, mặc mát, co dãn rất tốt	;3;4										
Chất vải xấu, mặc nóng;2;2										
Vải áo mỏng, from áo dài nên lưu ý trước khi mua	;2	;3								
Áo mỏng và dễ nhăn cực ý ;2	;3									
Khá là thất vọng 	;2	;2																		
Áo mỏng. Thất vọng cực. ;1;1										
Chất liệu cũng tạm được, giao sai màu, tạm chấp nhận; 2;2										
áo bị ngắn, hơi thất vọng	;3	;3									
Quần với giá này thì vải ok. ;3	;3									
áo hơi nhăn	;3					;3					
Áo khi mới mở ra thì khá hơi khi mặc thì bị dính vải lên trên người 	;3								;3																					
Áo màu be mỏng quá;3;3										
Chất vải hơi kém	;3;2										
Vải ổn;3				;3						
áo Đẹp;4				;5														
Áo rất dễ bị nhăn	;3	;3									
Áo chất đẹp. ;5			;5							
Kém	;2					;2					
Chất vải và đường may tốt nhưng áo bé hơn so với bảng size nên không ưng lắm	;3					;4																
Áo hơi mỏng;3;3										
Dáng áo đẹp ạ , mỗi tội vải mỏng nhìn rõ áo bên trong	;3				;3																
Áo bị lỗi, chán quá	;3;3																															
Chất vải mát. tuy nhiên cổ áo bị ố vàng;3;3										
Tạm được	;3								;3		
Sản phẩm oke nhưng giao trễ 	;3				;4						
Vải hơi mỏng 	;3	;3																												
áo hơi tệ;3	;3									
Quần có vết hơi dơ. Ổn so với giá	;3			;3																																																	
Chất được, mặc mát, mỗi tội chưa rộng theo ý mình lắm; 4	;4																	
Áo hơi bẩn		;3											;3								
Vải dày, mặc bị nóng, giao hàng nhanh	;4						;3												
Giao hàng khá nhanh, giao đủ hàng, chất hơi nóng. nói chung tạm ổn;4;3										
Áo giống như hình, chất hơi dày, mình đặt áo XXL rồi nhưng áo trông vẫn hơi nhỏ. Giá cả phải chăng, giao hàng nhanh	;4										;4
Vải xịn mát, đường may xấu	;4			;4																
Áo chất thì đẹp lắm rồi hời với giá tiền, bị phai màu;3	;4									
Áo chất khá là mát, giống hình, đường may xấu;3	;4
Đường may rất ẩu;1;1
sản phẩm giao khác hình, mặc lên nhìn rất xấu.;1;1
Giá đắt, mà sản phẩm chất lượng quá kém, không nên mua.;1;1
giao hàng chậm, lúc nhận hàng thì thiếu. Buồn.;1;2
mặc rất nóng, hàng kém chất lượng. ;1;1
áo không giống hình.;	1;2
Sản phẩm tệ, áo quá bé không như mô tả.;	2;2
áo giống hình, nhưng chất vải xấu, mỏng.;	2;2
Áo ngắn, ship lâu, hàng không đẹp; 	1;1
nhắn tin shop khong trả lời, giao hàng lâu;	2;2	
Hàng mới nhận đã rách vài chỗ, shop không cho đổi trả.;	1;1
Vải xấu hàng về chậm. Không nên mua.;	 1;1
áo tay ngắn không như hình.;	1;2
Áo quá ngắn không mặc được, không giống kích thước mô tả.;	1;2
Chất vải nóng , cầm thôi chứ chưa mặc đã thấy rất nóng.;	1;2
thất vọng về sản phẩm.;1;1
Tồi; 1					;1																		
Tạm chấp nhận;4			;4							
phần cổ may ẩu quá, mùi áo rất khó chịu	;3	;3									
form áo cũng tạm	;4						;4				
Áo vải mỏng mặc rất nóng không thấm hút mồ hôi mấy nên cân nhắc khi mua	;3											;3									
Vải áo cũng tốt nhưng cái logo áo may hơi cao, mùi hôi, giao hàng chậm;3	;3									
áo mỏng ;4	;3			
Chất vải mịn	;4	;5	
Chất lượng áo quá kém. Áo trắng thì bị lem bẩn mốc.;1;1
Tay quá ngắn.; 1;2
Áo quá mỏng.;1;2
lừa đảo.; 1;1																								
Chất mát ;4;5
vải đẹp dùng cũng ok		;4						;4		
Nói chung là nên mua nha"	;4					;4															
Áo chất mịn không dễ xù. ;4						;5				
Áo đẹp phù hợp với giá tiền				;4		;4					
Nên mua nha ;4									;4											
chất mỏng dễ nhăn;4								;3		
Ống tay áo hơi ngắn so với size XL	;4			;3							
Vải tốt mà áo to quá, đóng gói sản phẩm đẹp, giao hàng nhanh.	;4;5										
Sản phẩm  không mịn.   rất nóng nực. hàng kém chất lượng	;1									;1										
Áo không giống trong hình 	;1;3										
Chất lượng áo khá ổn so với giá tiền	;3								;3																				
Áo tay quá ngắn còn bị lỗi đường may ;	1;2																				
Áo ngắn, vải xấu, không nên mua;1			;1							
Hỗ trợ kém	;1								;1		
Giao thiếu hàng; 2							;2	
Hàng cũng tạm ổn quần thì không ưng ý lắm	;4;4	
áo mỏng mà còn nóng	;4	;3
Áo hơi mỏng	;3	;3
Vải hơi mỏng	;3	;3
Chất lượng kém	;2	;2
Chỉ quần rất tệ 	;2	;1
Quần mua về bị rách 	;2;2	
Quần ổn áp	;3	;3
Áo thì không thoáng mát 	;3;3	
Quần vải quá mỏng	;3	;3
Chất sờ khá mát. 	;3	;3
Giao hàng nhanh. Nhưng trải nghiệm vẫn chưa hài lòng. "	;3;3	
Chất mỏng, nhưng nóng	;3	;3
Quần mỏng quá 	;3	;3
Nhìn chung thì cũng ok 	;4;4
Vải quần mỏng	;3	;3
Phù hợp với giá tiền, đồ đẹp	;4;4	
Nhưng đường chỉ may khá tệ	;3	;3
Quần may đường chỉ không ổn ,áo tạm được	;3	;3
Bộ đồ khá ổn. Quần hơi mỏng nhưng mặc khá mát	;3;4	
Tạm được	;4	;4
Áo chất đẹp, còn quần chất vải xấu	;3	;3
Chất xấu . 	;1	;1
Hàng ok . Áo mỏng. Nhìn cũng được	;4	;4
Áo thì ok nhưng quần vải xấu 	;3	;3
Chất vải tạm ổn 	;4	;4
nhìn rất xấu . Không hài lòng 	;1;1	
khá ổn, áo thì đỡ, quần không đẹp lắm.	;3;3	
Sản phẩm  ok.    Vải mỏng mát.	;4	;4
Quần hơi mỏng, có vẻ nóng 	;1	;2
Áo thì được	;4	;4
Hàng gói đẹp	;4;5	
Vải không đẹp, rất nóng .	;1;2	
Vải xấu cực kỳ 	;1	;1
Chất vải thì nóng thô 	;1;1	
Tóm lại hàng rất chán"	;1	;1
Áo rách nên mình không hài lòng	;1;2	
vải mỏng dính	;1	;2
Vải mỏng, nóng. Sai lầm 	;1;2	
Vải mỏng	;1	;2
Chất quá xấu, không thể mặc được, làm giẻ lau còn không thấm được nước,	;1;1	
Quá tệ 	;1	;1
Vải xấu.	;1;1	
Chất vải quá mỏng	;2;2	
Hàng đóng gói sơ sà	;2	;2
Mỏng dễ sợ luôn,  tệ , thất vọng ghê luôn	;2;1	
Vải khá mỏng. Vài không nóng không mát.	;2	;2
Giao hàng lâu và đặc biệt là vải rất mỏng luôn và còn bị rách nựa	;2;2	
Chất vải thô, nóng, không co giãn, kích thước khá bé so với size chuẩn	;2;2	
hàng thun mặc nóng coton nhiều không thấm hút mồ hôi 	;2	;2
Thun coton nhiều mặc nóng không thấm mồ hôi 	;2	;2
Chất vải xấu:<	;2	;2
không đẹp  vải mỏng chất nóng 	;2;2	
Nói chung là không ưng	;2	;2
Hơi mỏng nha	;2	;2
Vải mỏng	;3	;3
Vải hơi mỏng. Giá tạm chấp nhận được	;3	;4
Áo rộng rãi vừa người, không có túi, vải loại nhẹ nhưng mặc hơi nóng	;3;3	
Vải mỏng	;3	;3
Chất áo mỏng và nóng, hình khá dễ thương	;3;3	
Vải rất xấu. Mỏng. 	;2	;3
Nói chung là không ưng	;2	;2
Hàng so với giá tiền thì ok ạ. Nhưng thực sự rất rất mỏng và nóng 	;4;2	
Vải mỏng nhưng đc cái là mềm, không cứng lắm, cũng ok	;4	;4
So với giá tiền thì sản phẩm được vậy là tốt rồi ạ. 	;4	;4
vải hơi mỏng 	;3	;3
hơi thất vọng	;3	;2
Giao nhầm size, nhắn tin shop không trả lời; 1;2
Vải mỏng, không mặc được;1;2
Nói chung là không ưng	;2	;2
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;1;1
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu, tốn tiền; 1;1
chất vải hơi nóng.; 2;2
áo trắng bị vết bẩn giặt không ra. ; 1;2
Vải xấu, hình in cũng xấu, nhìn như cái rẻ lau. ;1;1 
Sản phầm nhìn giống hình nhưng đường may xấu, vải cũng xấu; 2;2
Chất liệu vải rất kém không giống trong hình. ; 1;2
Vải áo thực sự tệ, vừa thô vừa nóng.; 1;1
áo hơi ngắn; 2;2
áo dài quá; 2;2
quần quá ngắn không mặc vừa.; 1;2
mới nhận hàng mà đã thấy rách rồi, shop không trả lời tin nhắn. Thất vọng thật sự. ;1;1
chất lượng sản phẩm không xứng đáng với giá tiền. ;2;2
Vải mỏng, tay áo quá dài.;1;2
Giao không đúng size,nhắn tin không rep.;1;2
Hàng khác hoàn toàn với ảnh.; 1;2
Quần cũng bình thường chất nỉ mỏng, thái độ giao hàng kém, không nên mua.; 1;1
rất nhiều chỉ thừa, có chỗ bị rách. ; 1;1
Vải mỏng, dễ bị nhăn, đắt so với tiền bỏ ra.;2;2
Quần chất nóng kinh khủng. ;1;1
Chất nóng.;2;2
Vải chưa được tốt lắm; 2;2
Chất xù, vải và nóng, không nên mua nhé mọi người.;1;1
Hàng giống hình, nhưng giao quá chậm, chất vải xấu;2;2
Mặc hơi bị rộng một chút.;2;4
Giao đúng mẫu, đường may chưa được đẹp, nhiều chỉ thừa.;3;3
dáng áo xấu, không đẹp như hình.;2;2
Chất vải chưa đẹp lắm;2;2
Giao đúng size, đúng mẫu, nhưng vải hơi mỏng.;2;2
Giao không đúng size;2;2
Sản phẩm đúng hình nhưng vải không được như mong đợi;2;2
Hơi nhiều chỉ thừa; 2;4
Cổ áo bị rộng, mặc lên nhìn xấu.;2;2
Màu nhận được khác hình mẫu đăng hoàn toàn.;2;2
Vải không thấm mồ hôi, mặc nóng.;2;2
Đường may ẩu.;2;2
Vải nóng, đường may sơ sài, phần cổ không ôm như ảnh, sản phẩm khác trong ảnh minh hoạ.	;2;2
Áo siêu mỏng, hơi thất vọng.;2;2
nóng quá.;2;2
Áo không được đẹp như hình. 	;2;2
Áo in chữ sai.	;2;2
Áo màu trắng bị bẩn;	2;2
Áo không tốt như mong đợi;2;2
Vải quá mỏng, tay áo thì dài quá; 2;2
Chất vải khá tốt, phù hợp với giá tiền	;4;4
Chất vải mát, vừa tiền	;4;4
áo mát, đẹp	;4;4
vừa tiền	;4;4
khá vừa lòng	;4;4
mặc khá thích	;4;4
áo ok Nhìn cũng được	;4	;4
Nhìn cũng được	;4	;4
khá thích áo này	;4	;4
khá ok	;4	;4
vải đẹp dùng cũng ok		;4						;4	
vải mát, thích dùng cũng ok		;4						;4	
cũng ok		;4						;4	
khá hài lòng		;4						;4	
lần sau sẽ ủng hộ tiếp, mình khá vừa ý		;4						;4	
Chất ok nhưng gửi chưa đúng mẫu mình chọn. Giá rẻ nên thôi cũng ok. 	;4;4
Chất thích  Giá rẻ nên thôi cũng ok. 	;4;4
khá ổn  	;4;4
Áo ổn lắm ạ, khá nhiều chỉ thừa, hình in hơi mờ không ổn lắm nhưng mà cũng được.;4;4
cổ áo hơi dơ,  nhưng mà cũng được.;4;4
cổ áo hơi dơ, khá nhiều chỉ thừa, hình in hơi mờ không ổn lắm nhưng mà cũng được.;4;4
cũng được.;4;4
Áo ổn lắm ạ;4;4
nhận hàng thấy ổn lắm ạ, cổ áo hơi dơ, ;4;4
ổn lắm ạ, khá nhiều chỉ thừa,;4;4
phù hợp với giá tiền				;4		;4	
Áo đẹp gần như mong đợi			;4		;4	
Áo khá ok 	;4;4
Áo đẹp 			;4		;4	
Áo đẹp 		;4		;4	
Áo  khá thích				;4		;4	
mình khá hài lòng		;4		;4	
Áo đẹp phù hợp với giá tiền				;4		;4	
Áo đẹp phù hợp với giá tiền				;4		;4	
Áo chất đẹp, còn quần chất vải xấu	;3	;3
Áo đẹp,  quần chất vải xấu	;3	;3
Áo ok, còn quần chất vải nóng, không đẹp	;3	;3
Áo chất đẹp, còn quần chất vải xấu	;3	;3
quần chất vải xấu Áo chất đẹp	;3	;3
quần không thích Áo đẹp, 	;3	;3
quần khá chán, áo rất ổn	;3	;3
Áo chất đẹp, còn quần chất vải xấu	;3	;3
Áo chất đẹp, còn quần chất vải xấu	;3	;3
Áo chất đẹp, còn quần chất vải xấu	;3	;3
quần hơi mỏng, nóng;3	;3
Vải không đẹp	;3	;3
tạm được	;3	;3
cái này mặc đi ra ngoài không ổn lắm, chỉ mặc được ở nhà thôi	;3	;3
Vải hơi mỏng, không đẹp lắm	;3	;3
Vải hơi nóng	;3	;3
Một chiếc rất đẹp. Còn 1 chiếc bị bẩn. Vải hơi mỏng nhưng mặc lên rất vừa .;3;3	
 1 chiếc bị bẩn. Vải hơi mỏng nhưng mặc lên rất vừa form. Một chiếc rất đẹp.;3;3	
chỉ vừa ý 1 chiếc Còn 1 chiếc bị bẩn. mặc lên rất vừa form.;3;3	
Một chiếc rất đẹp.  Vải hơi mỏng nhưng mặc lên rất vừa form.;3;3	
 1 chiếc bị bẩn. Vải hơi mỏng nhưng mặc lên rất vừa form.;3;3	
Một chiếc rất đẹp.1 chiếc Vải hơi mỏng ;3;3	
1 cái khá ưng Còn 1 cái bị bẩn. ;3;3	
Một chiếc rất đẹp. Còn 1 chiếc bị bẩn. Vải hơi mỏng nhưng mặc lên rất vừa form.;3;3	
đường chỉ không ổn ,áo tạm được	;3	;3
Quần  không ổn ,áo tạm được	;3	;3
1 cái không ổn , 1 áo tạm được	;3	;3
tạm được	;3	;3
áo tạm chấp nhận được	;3	;3
Quần may đường chỉ không ổn ,áo tạm được	;3	;3
dáng áo xấu, không đẹp ;2;2
dáng áo xấu, ;2;2
không đẹp như hình.;2;2
 áo xấu, không đẹp ;2;2
xấu, không đẹp như hình.;2;2
chất áo xấu, ;2;2
không đẹp ;2;2
dáng áo xấu, không như hình.;2;2
xấu, không như hình.;2;2
 áo xấu, không đẹp như hình.;2;2
  xấu, không đẹp lắm;2;2
Chất lượng kém	;2	;2
Chất lượng hơi tồi	;2	;2
Chất lượng không đẹp tý nào	;2	;2
không thích lắm	;2	;2
xấu lắm	;2	;2
Chất vải kém	;2	;2
Chất không mát, không đẹp	;2	;2
không thích	;2	;2
Chất lượng kém	;2	;2
Chất lượng kém	;2	;2
chất vải xấu, mỏng.;	2;2
áo giống hình, nhưng chất vải xấu;	2;2
giống hình, nhưng chất vải xấu, mỏng.;	2;2
Khá là thất vọng 	;2	;2	
áo giống hình, nhưng chất vải xấu, mỏng.;	2;2
Sản phẩm tệ, áo quá bé không như mô tả.;	2;2
Kém	;2					;2		
sản phẩm giao bị bẩn;2;2
áo giống hình, nhưng chất vải xấu, mỏng.;	2;2
Màu quá khác xa hình	;2;2
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;1;1
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu, tốn tiền; 1;1
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;1;1
vải thô cứng, mặc rất khó chịu;1;1
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;1;1
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu,; 1;1
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;1;1
vải thô cứng, mặc rất khó chịu, tốn tiền; 1;1
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;1;1
mặc rất khó chịu, ; 1;1
Sản phẩm khác hình hoàn toàn, thất vọng hoàn toàn. ;1;1
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu, tốn tiền; 1;1
thất vọng  ;1;1
vải thô cứng,không đẹp tý nào ; 1;1
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;1;1
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu; 1;1
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;1;1
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu, tốn tiền; 1;1
Sản phẩm khác hình hoàn toàn, thất vọng khi mua. ;1;1
Shop giao nhầm màu, vải thô cứng, mặc rất khó chịu, tốn tiền; 1;1
Áo ngắn, vải xấu, không nên mua;1			;1							
chất lượng kém	;1								;1	
Áo ngắn, vải xấu, ;1			;1							
tệ	;1								;1	
quá tệ không nên mua;1			;1							
chất lượng rất kém	;1								;1	
Áo ngắn, vải xấu, không nên mua;1			;1							
xấu lắm	;1								;1	
Mỏng dễ sợ luôn,  tệ , thất vọng ghê luôn	;2;1						
Hỗ trợ kém	;1								;1	
Áo ngắn, vải xấu, không nên mua;1			;1							
Hỗ trợ kém	;1								;1	
Hàng mới nhận đã rách vài chỗ, shop không cho đổi trả.;	1;1
Vải xấu hàng về chậm. Không nên mua.;	 1;1			
Hỗ trợ kém	;1								;1	
Áo ngắn, vải xấu, không nên mua;1			;1							
Hỗ trợ kém	;1								;1	
Áo ngắn, vải xấu, không nên mua;1			;1							
Sản phẩm  không mịn.   rất nóng nực. hàng kém chất lượng	;1									;1	
Vải xấu cực kỳ 	;1	;1
Chất vải thì nóng thô 	;1;1	
Tóm lại hàng rất chán"	;1	;1
Áo ngắn, vải xấu, không nên mua;1			;1							
Hỗ trợ kém	;1								;1	
không ưng	;2	;2
mình không ưng	tý nào;2	;2
 không ưng	;2	;2
Nói chung là không đẹp	;2	;2
mình nhận hàng và thấy không thích	;2	;2
khá chán	;2	;2
khá tệ	;2	;2
vải nóng, không đẹp tý nào	;2	;2
Nói chung là không ưng	;2	;2
Nói chung là không ưng	;2	;2
dáng áo xấu, không đẹp.;2;2
 áo xấu, không đẹp như hình.;2;2
áo  không đẹp như hình.;2;2